id,created,status,error,parentid,trackerx,trackery,lp1h,lp2h,lp1w,lp2w,rp1h,rp2h,rp1w,rp2w,fw1,f2w,fw3,fw4,edge1,edge2
LIGHT-AND-WHAT-IT-DOES-00083,2020-03-25T18:01:28.049Z,pass,,1,232,223,79,79,81,82,0,-0.999699,0,-0.00252586,724,724,723,723,1,2
LIGHT-AND-WHAT-IT-DOES-00084,2020-03-25T18:01:28.180Z,pass,,1,243,254,79,79,81,81,0,-0.999699,0,-0.00252586,724,724,725,725,2,0
LIGHT-AND-WHAT-IT-DOES-00085,2020-03-25T18:01:28.327Z,pass,,1,241,249,79,79,81,81,0,-0.999699,0,-0.00252586,724,724,723,723,1,2
LIGHT-AND-WHAT-IT-DOES-00086,2020-03-25T18:01:28.479Z,pass,,1,246,519,79,79,81,81,0,-0.999699,0,-0.00252586,724,724,723,723,1,5
LIGHT-AND-WHAT-IT-DOES-00087,2020-03-25T18:01:28.632Z,pass,,1,250,508,65,79,69,82,0,-0.999699,0,-0.00252586,723,723,722,722,1,5
LIGHT-AND-WHAT-IT-DOES-00088,2020-03-25T18:01:28.759Z,pass,,1,231,217,79,79,82,82,0,-0.999699,0,-0.00252586,723,723,722,722,1,7
LIGHT-AND-WHAT-IT-DOES-00089,2020-03-25T18:01:28.885Z,pass,,1,232,214,79,79,82,81,0,-0.999699,0,-0.00252586,723,723,723,723,1,4
LIGHT-AND-WHAT-IT-DOES-00090,2020-03-25T18:01:29.033Z,pass,,1,232,213,79,79,82,82,0,-0.999699,0,-0.00252586,723,723,722,722,1,4
LIGHT-AND-WHAT-IT-DOES-00091,2020-03-25T18:01:29.184Z,pass,,1,233,211,79,79,81,81,0,-0.999699,0,-0.00252586,723,723,722,722,1,4
LIGHT-AND-WHAT-IT-DOES-00092,2020-03-25T18:01:29.284Z,pass,,1,233,209,79,79,82,82,0,-0.999699,0,-0.00252586,724,724,723,723,1,2
